index,FINAL Sample NAME,Sequential G3 Sample No.,Biological Replicate No. (if applicable),"Preservative (Formalin, Acid Lugol's, Slide)",Cruise/ Expedition ID,Cruise/Expedition Name,Collection date (MM/DD/YY),Field Sample Name,Dive No./ Station No./ Cast No.,Sampling method,Region,Area within region,Additional Description Sampling Location,Depth (m),Altitude (m),Latitude,Longitude,Start time (local),End time (local),Start time (UTC),End time (UTC),Temp (°C),pH,Salinity (ppt),Oxygen (µM),Methane (µM),Other chem,Other chem (units X),Field Notes,Personnel Responsible for Collecting Sample,Sample Location in Lab,Station #,Net #,Date (UTC) ,Target Depth (m),Time 1 (UTC) ,Latitude 1,Longitude 1,GPS SOG 1,Wind Speed 1 (knots),Water Temp 1 (deg C) ,Bottom Depth 1 (m) ,Time 2 (UTC) ,Latitude 2,Longitude 2,GPS SOG 2,Wind Speed 2 (knots),Water Temp 2 (deg C) ,Bottom Depth 2,Time 3 (UTC) ,Latitude 3,Longitude 3,GPS SOG 3,Wind Speed 3 (knots),Water Temp 3 (deg C) ,Bottom Depth 3,Total Time In Water ,Sea State,Sampler(s),Flow Meter Type,Flow Meter SN,Flow Meter Start,Flow Meter End,Pressure Sensor SN,Pressure Sensor File Name,Actual Depth Reached (m),Number of 250 ml Ethanol Preservations,Number of 500 ml Ethanol Preservations,Number of 250 ml Formalin Preservations,Number of 500 ml Formalin Preservations,Comments,tow_type,Flow Meter 1 SN,Flow Meter 1 location,Flow Meter 1 Average Spin,Flow Meter 1 Start,Flow Meter 1 End,Flow Meter  1 Difference,Flow Meter 2 SN,Flow Meter 2 location,Flow Meter 2 Average Spin,Flow Meter 2 Start,Flow Meter 2 End,Flow Meter 2 Difference,Total Wire Out Required (m),Deployment Winch Speed (m/min),Recovery Winch Speed (m/min),Depth 1 (m),Time at Depth 1 (min),Depth 2 (m),Time at Depth 2 (min),"Wire Out, Wire Angle Pairings (m/°)",Number of 250 ml Ethanol Preservations (100) ,Number of 500 ml Ethanol Preservations (100),Number of 250 ml Ethanol Preservations (200) ,Number of 500 ml Ethanol Preservations (200),Time at Depth 1 (MM:ss),Number of 250 ml Ethanol Preservations (335-1),Number of 500 ml Ethanol Preservations (335-1),Number of 250 ml Formalin Preservations (335-2),Number of 500 ml Formalin Preservations (335-2)
102,P137.E.WCOA21,137,,E,WCOA21,,,V200_90-28_EtOH,90-28,Vertical 200,,,,,,,,,,,,,,,,,,,,,,90-28,V200_90-28,20-Jul-21,30,9:10,33 28.7323 N,117 45.6680 W,0.2,2.10,20.021,52.11,9:12,33 28.7296 N,117 45.6696 W,0.1,2.34,20.030,52.39,9:14,33 28.7286 N,117 45.6708 W,0.1,1.94,20.183,52.62,0:04,0-1,"MMS, CI, BD",TSK,7408,0,258,U-16474,V200_90-28_pressure,25.32,1,0,,,wire angle toward aft on recovery,Vertical 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,P138.E.WCOA21,138,,E,WCOA21,,,V200_90-35_EtOH,90-35,Vertical 200,,,,,,,,,,,,,,,,,,,,,,90-35,V200_90-35,21-Jul-21,100,4:12,33 15.0570 N,118 14.9357 N,0.1,7.26,20.339,342.09,4:16,33 15.0481 N,118 14.9352 W,0.3,6.22,20.370,347.32,4:21,33 15.0475 N,118 14.9348 W,0.1,7.30,20.345,348.32,0:09,0-3,"MMS, NG, CI, ST",TSK,7408,0,340,U-16474,V200_90-35_pressure,95.05,1,0,,,strong outboard wire angle; flow meter may not have been tripped correctly,Vertical 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,P139.E.WCOA21,139,,E,WCOA21,,,V200_90-60_EtOH,90-60,Vertical 200,,,,,,,,,,,,,,,,,,,,,,90-60,V200_90-60,22-Jul-21,100,7:08,32 24.7226 N,119 56.4820 W,0.5,17.93,17.346,912.87,7:12,32 24.7152 N,119 56.4908 W,0.2,18.56,17.341,911.68,7:16,32 24.7151 N,119 56.4911 W,0.3,17.15,17.339,913.86,0:08,4-6,"MMS, NG, CI, BD",TSK,7408,0,662,U-16474,V200_90-60_pressure,97.6,1,0,,,,Vertical 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,P140.E.WCOA21,140,,E,WCOA21,,,V200_P02-12_EtOH,P02-12,Vertical 200,,,,,,,,,,,,,,,,,,,,,,P02-12,V200_P02-12,23-Jul-21,100,6:53,31 45.9196 N,120 14.1145 W,0.3,13.20,17.485,4035.51,6:57,31 45.9059 N,120 14.1300 W,0.6,14.58,17.486,4054.72,7:01,31 45.9010 N,120 14.1378 W,0.2,14.33,17.481,4040.42,0:08,4-6,"MMS, NG, CI, ST",TSK,7408,0,668,U-16474,V200_P02-12_pressure,96.15,1,0,,,,Vertical 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,P141.E.WCOA21,141,,E,WCOA21,,,B100_QC85_EtOH,QC85,Bongo 100,,,,,,,,,,,,,,,,,,,,,,QC85,B100-200_QC85,25-Jun-21,100,10:51,51 28.6964 N,130 49.9102 W,1.3,12.45,DNR,1838.65,10:57,51 28.5668 N,130 49.8517 W,1.4,11.03,DNR,1838.13,11:07,51 28.4276 N,130 49.7460 W,1.4,12.03,DNR,1821.84,0:16,6-8,"MMS, NG, BD",General Oceanics,,,,U-16454,B100-200_QC85_pressure,102.34,,,,,challenging to get wire angle correct; ship speed ~1 knot on ascent; needed time to stabilize wire angle when reaching depth 1,Bongo 200 and Bongo 100,B30498,100  µm (outboard),120.5,87,30429,30342,B30497,200  µm (inboard),121.25,22,30969,30947,141,30,20,100,2:00,NA,NA,"75/49, 141/54, 75/41, 35/37.5, 0/55",1,0,1,0,,,,,
118,P142.E.WCOA21,142,,E,WCOA21,,,B100_BS64_EtOH,BS64,Bongo 100,,,,,,,,,,,,,,,,,,,,,,BS64,B100-200_BS64,27-Jun-21,100,11:17,48 11.4530 N,126 35.8388 W,1.1,9.39,15.129,2482.39,11:22,48 11.3294 N,126 35.8712 W,1.2,10.01,15.228,2480.21,11:30,48 11.1790 N,126 35.9100 W,1.4,8.6,15.192,2477.05,0:13,2-4,"MMS, NG, BD",General Oceanics,,,,U-16454,B100-200_BS64_pressure,103.16,,,,,lot of biomass (seems to be clogging on recovery; draining slow),Bongo 200 and Bongo 100,B30498,100  µm (outboard),120.5,30715,50424,19709,B30497,200  µm (inboard),121.25,31187,54729,23542,141,30,20,100,0,NA,NA,"75/48, 141/46, 75/50, 35/49, 0/45",3,0,3,0,,,,,
121,P143.E.WCOA21,143,,E,WCOA21,,,B100_BS6_EtOH,BS6,Bongo 100,,,,,,,,,,,,,,,,,,,,,,BS6,B100-200_BS6,28-Jun-21,70,8:59,48 48.3249 N,125 29.5464 W,1.7,8.98,14.196,101.75,9:04,48 48.3690 N,125 29.7646 W,2.3,8.5,14.345,102.74,9:10,48 48.4247 N,125 30.0166W,1.5,8.46,15.21,102.95,0:11,0-2,"MMS, NG, BD",General Oceanics,,,,U-16454,B100-200_BS6_pressure,67.81,,,,,,Bongo 200 and Bongo 100,B30498,100  µm (outboard),120.5,50568,56143,5575,B30497,200  µm (inboard),121.25,54784,71100,16316,100,30,20,70,0,NA,NA,"35/29, 75/40, 100/50, 75/56, 35/44, 0/15",2,0,2,0,,,,,
124,P144.E.WCOA21,144,,E,WCOA21,,,B100_ChaBa_EtOH,ChaBa,Bongo 100,,,,,,,,,,,,,,,,,,,,,,ChaBa,B100-200_ChaBa,29-Jun-21,70,8:30,47 57.6601 N,124 54.8863 W,1.6,15.11,15.36,82.76,8:34,47 57.5573 N,124 54.7843 W,1.9,14.27,15.329,82.65,8:47,47 57.2805 N,124 54.4792 W,1.7,15.5,14.438,80.43,0:17,4-6,"MMS, NG, BD",General Oceanics,,,,U-16454,B100-200_ChaBa_pressure,70.41,,,,,surface current; high wire angle at end of tow,Bongo 200 and Bongo 100,B30498,100  µm (outboard),120.5,56173,85888,29715,B30497,200  µm (inboard),121.25,71101,103649,32548,105,20,10,70,0,NA,NA,"50/30, 105/46, 50/37, 0/55",1,0,1,0,,,,,
127,P145.E.WCOA21,145,,E,WCOA21,,,B100_CR40_EtOH,CR40,Bongo 100,,,,,,,,,,,,,,,,,,,,,,CR40,B100-200_CR40,30-Jun-21,100,9:13,46 08.0103 N,124 54.9276 W,1.3,11.72,16.111,1261.07,9:19,46 07.9090 N,124 54.8213 W,1.5,15.43,16.075,1284.08,9:24,46 07.8020 N,124 54.7218 W,1.3,14.71,16.098,1301.7,0:11,4-6,"MMS, NG, BD",General Oceanics,,,,U-16454,B100-200_CR40_pressure,116.54,,,,,,Bongo 200 and Bongo 100,B30498,100  µm (outboard),120.5,85903,101324,15421,B30497,200  µm (inboard),121.25,103638,125174,21536,141,30,30,100,0,NA,NA,"111/39, 141/40, 75/46, 0/51",0,1,0,1,,,,,
130,P146.E.WCOA21,146,,E,WCOA21,,,B100_CR24_EtOH,CR24,Bongo 100,,,,,,,,,,,,,,,,,,,,,,CR24,B100-200_CR24,1-Jul-21,100,8:47,46 08.0001 N,124 32.3428 W,1.2,6.31,16.989,136.95,8:53,46 08.0692 N,124 32.4064 W,0.9,5.5,16.997,139.21,9:01,46 08.1995 N,124 32.5339 W,0.8,4.76,17.04,139.1,0:14,6-8,"MMS, NG, BD",General Oceanics,,,,U-16454,B100-200_CR24_pressure,128.91,,,,,,Bongo 200 and Bongo 100,B30498,100  µm (outboard),120.5,101404,125103,23699,B30497,200  µm (inboard),121.25,125239,148610,23371,141,30,20,100,01:05.2,NA,NA,"75/48, 141/38, 75/46, 0/51",1,0,1,0,,,,,
133,P147.E.WCOA21,147,,E,WCOA21,,,B100_C41_EtOH,C41,Bongo 100,,,,,,,,,,,,,,,,,,,,,,C41,B100-200_C41,2-Jul-21,100,9:21,47 06.1049 N,125 11.6295 W,1.7,13.88,15.545,1563.06,9:27,47 05.9320 N,125 11.6465 W,1.8,9,15.552,1535.52,9:34,47 05.7227 N,125 11.6985 W,1.7,12.95,15.446,1494.87,0:13,4-6,"MMS, NG, BD",General Oceanics,,,,U-16454,B100-200_C41_pressure,104.07,,,,,,Bongo 200 and Bongo 100,B30498,100  µm (outboard),120.5,125112,149635,24523,B30497,200  µm (inboard),121.25,149054,173823,24769,141,30,20,100,0,NA,NA,"75/46, 141/49, 75/50, 0/25",0,1,0,1,,,,,
136,P148.E.WCOA21,148,,E,WCOA21,,,B100_NH10_EtOH,NH10,Bongo 100,,,,,,,,,,,,,,,,,,,,,,NH10,B100-200_NH10,4-Jul-21,surface,8:30,44 39.2533 N,124 18.2980 W,1,15.41,13.586,76.64,NA,NA,NA,NA,NA,NA,NA,8:51,44 39.4348 N,124 18.8143 W,1.1,13.81,13.578,75.73,0:21,6-8,"MMS, NG, BD",General Oceanics,,,,U-16454,B100-200_NH10_pressure,3.87,,,,,deploying bongo like neuston -- because shallow and lot of algae,Bongo 200 and Bongo 100,B30498,100  µm (outboard),120.5,149639,159007,9368,B30497,200  µm (inboard),121.25,173847,191241,17394,NA,NA,NA,surface,20:00,NA,NA,NA,0,1,0,1,,,,,
139,P149.E.WCOA21,149,,E,WCOA21,,,B100_HH20_EtOH,HH20,Bongo 100,,,,,,,,,,,,,,,,,,,,,,HH20,B100-200_HH20,5-Jul-21,100,9:24,43 59.7262 N,124 36.7654 W,1.2,19.46,14.205,147.98,9:29,43 59.8414 N,124 36.9323 W,1.7,17.5,14.2,143.36,9:37,44 00.0381 N,124 37.0417 W,1.8,16.06,14.217,144.39,0:13,4-6,"MMS, NG, BD",General Oceanics,,,,U-16454,B100-200_HH20_pressure,105.2,,,,,,Bongo 200 and Bongo 100,B30498,100  µm (outboard),120.5,159177,184111,24934,B30497,200  µm (inboard),121.25,191458,217177,25719,141,30,20,100,0,NA,NA,"75/40, 141/46, 75/50, 0/51",0,1,0,1,,,,,
142,P150.E.WCOA21,150,,E,WCOA21,,,B100_B66_EtOH,B66,Bongo 100,,,,,,,,,,,,,,,,,,,,,,B66,B100-200_B66,6-Jul-21,100,9:39,41 44.3734 N,125 40.8233 W,1.7,21.23,15.476,2889.79,9:44,41 44.4911 N,125 40.9157 W,1.6,22.56,15.479,2870.92,9:59,41 44.7542 N,125 41.1072 W,1.1,19.42,15.482,2858.28,0:20,8-10,"MMS, NG, BD",General Oceanics,,,,U-16454,B100-200_B66_pressure,80.74,,,,,slow recovery speed because other nets had so little biomass,Bongo 200 and Bongo 100,B30498,100  µm (outboard),120.5,184090,223399,39309,B30497,200  µm (inboard),121.25,217168,263140,45972,141,30,10,100,1:16,NA,NA,"85/52, 141/56, 75/48, 0/50",1,0,1,0,,,,,
145,P151.E.WCOA21,151,,E,WCOA21,,,B100_PA3_EtOH,PA3,Bongo 100,,,,,,,,,,,,,,,,,,,,,,PA3,B100-200_PA3,10-Jul-21,75,8:07,38 54.1118 N,123 47.7328 W,1.8,22.96,10.818,94.40,8:11,38 54.1913 N,123 47.8076 W,1.3,22.14,10.833,95.38,8:15,38 54.2729 N,123 47.8769 W,0.8,21.55,10.826,96.18,0:08,8-10,"MMS, NG, CI, BD",General Oceanics,,,,U-16454,B100-200_PA3_pressure,87.61,,,,,surface current; high wire angle near surface,Bongo 200 and Bongo 100,B30498,100  µm (outboard),120.5,223449,232365,8916,B30497,200  µm (inboard),121.25,263108,283247,20139,106,30,30,75,0,NA,NA,"75/47, 106/46, 75/53, 0/49",0,1,1,0,,,,,
148,P152.E.WCOA21,152,,E,WCOA21,,,B100_PR15_EtOH,PR15,Bongo 100,,,,,,,,,,,,,,,,,,,,,,PR15,B100-200_PR15,11-Jul-21,70,9:35,37 52.2896 N,123 04.9353 W,1.1,19.30,11.532,84.72,9:39,37 52.3484 N,123 05.0428 W,1.5,21.27,11.649,84.23,9:44,37 52.4016 N,123 05.1498 W,1.1,21.21,11.655,85.00,0:09,6-8,"MMS, NG, CI, BD",General Oceanics,,,,U-16454,B100-200_PR15_pressure,67.49,,,,,bongo nets ripped during a storm; first tow with new replacement nets; flow meters also refilled,Bongo 200 and Bongo 100,B30498,100  µm (outboard),120.5,232676,247222,14546,B30497,200  µm (inboard),121.25,283151,301692,18541,99,30,20,70,0:15,NA,NA,"75/50, 99/51, 75/49, 0/46",1,0,1,0,,,,,
151,P153.E.WCOA21,153,,E,WCOA21,,,B100_GGTX1_EtOH,GGTX1,Bongo 100,,,,,,,,,,,,,,,,,,,,,,GGTX1,B100-200_GGTX1,13-Jul-21,90,6:54,37 38.8438 N,123 02.1008 W,1.3,14.97,11.988,113.08,6:59,37 38.8987 N,123 02.2556 W,1.7,15.85,11.982,112.32,7:07,37 38.9749 N,123 02.4781 W,1.8,15.80,11.992,113.64,0:13,4-6,"MMS, NG, CI, ST",General Oceanics,,,,U-16454,B100-200_GGTX1_pressure,94.61,,,,,,Bongo 200 and Bongo 100,B30498,100  µm (outboard),120.5,247258,270920,23662,B30497,200  µm (inboard),121.25,301747,326185,24438,127,30,20,90,0,NA,NA,"75/39, 127/44, 75/44, 0/44",1,0,1,0,,,,,
154,P154.E.WCOA21,154,,E,WCOA21,,,B100_ML60_EtOH,ML60,Bongo 100,,,,,,,,,,,,,,,,,,,,,,ML60,B100-200_ML60,14-Jul-21,100,9:08,36 27.4279 N,122 46.3705 W,1.6,15.08,14.760,2720.93,9:14,36 27.5248 N,122 46.5385 W,2.1,10.14,14.758,2951.85,9:21,36 27.6581 N,122 46.7738 W,1.9,10.17,14.757,2959.27,0:13,6-8,"MMS, NG, CI, BD",General Oceanics,,,,U-16454,B100-200_ML60_pressure,101.14,,,,,seems to be a strong current <10 m; bad wire angles on recovery,Bongo 200 and Bongo 100,B30498,100  µm (outboard),120.5,271164,291370,20206,B30497,200  µm (inboard),121.25,326411,348467,22056,141,30,20,100,0,NA,NA,"75/32, 141/48, 75/51, 0/30",1,0,1,0,,,,,
157,P155.E.WCOA21,155,,E,WCOA21,,,B100_ML11_EtOH,ML11,Bongo 100,,,,,,,,,,,,,,,,,,,,,,ML11,B100-200_ML11,15-Jul-21,100,8:04,36 44.1209 N,121 58.3280 W,1.7,2.96,13.540,134.46,8:10,36 43.9966 N,121 58.4374 W,1.7,5.04,13.604,150.36,8:24,36 43.6461 N,121 58.7510 W,1.7,7.29,13.833,337.25,0:20,2-4,"MMS, NG, CI, BD",General Oceanics,,,,U-16454,B100-200_ML11_pressure,106.7,,,,,,Bongo 200 and Bongo 100,B30498,100  µm (outboard),120.5,291404,328014,36610,B30497,200  µm (inboard),121.25,348475,387837,39362,141,30,10,100,0,NA,NA,"75/40, 141/49, 75/49, 0/39",0,1,1,0,,,,,
160,P156.E.WCOA21,156,,E,WCOA21,,,B100_73.3-70_EtOH,73.3-70,Bongo 100,,,,,,,,,,,,,,,,,,,,,,73.3-70,B100-200_73.3-70,16-Jul-21,100,11:10,34 59.2289 N,122 40.8673 W,0.6,19.79,15.018,4053.57,11:16,34 59.3513 N,122 40.9980 W,1.8,18.23,15.004,4301.46,11:23,34 59.4684 N,122 41.1425 W,1.9,18.27,15.007,4053.42,0:13,4-6,"MMS, NG, CI, BD",General Oceanics,,,,U-16454,B100-200_73.3-70_pressure,95.41,,,,,small tear on seam of 200 um net (near opening) ,Bongo 200 and Bongo 100,B30498,100  µm (outboard),120.5,328010,344545,16535,B30497,200  µm (inboard),121.25,387847,408622,20775,141,30,20,100,0,NA,NA,"75/49, 141/50, 75/49, 0/44",0,2,0,2,,,,,
163,P157.E.WCOA21,157,,E,WCOA21,,,B100_CCE1_EtOH,CCE1,Bongo 100,,,,,,,,,,,,,,,,,,,,,,CCE1,B100-200_CCE1,17-Jul-21,100,8:42,33 29.7137 N,122 33.2865 W,1.1,20.71,16.743,3976.67,8:47,33 29.8274 N,122 33.3737 W,1.9,20.06,16.742,3978.87,9:04,33 30.1801 N,122 33.6534 W,1.3,22.46,16.722,3982.72,0:22,4-6,"MMS, NG, CI, BD",General Oceanics,,,,U-16454,B100-200_CCE1_pressure,99.51,,,,,,Bongo 200 and Bongo 100,B30498,100  µm (outboard),120.5,344936,380928,35992,B30497,200  µm (inboard),121.25,409374,449552,40178,141,30,10,100,0:45,NA,NA,"75/42, 141/50, 75/50, 0/29",1,0,1,0,,,,,
166,P158.E.WCOA21,158,,E,WCOA21,,,B100_CCE2_EtOH,CCE2,Bongo 100,,,,,,,,,,,,,,,,,,,,,,CCE2,B100-200_CCE2,18-Jul-21,100,7:17,34 19.2256 N,120 49.1253 W,1.7,14.35,14.869,829.99,7:22,34 19.2899 N,120 49.3518 W,2.2,15.91,14.802,810.12,7:29,34 19.3635 N,120 49.6349 W,1.7,15.94,14.751,826.28,0:12,3-4,"MMS, NG, CI, BD",General Oceanics,,,,U-16454,B100-20_CCE2_pressure,101.67,,,,,,Bongo 200 and Bongo 100,B30498,100  µm (outboard),120.5,381761,399019,17258,B30497,200  µm (inboard),121.25,449921,473729,23808,141,30,20,100,0,NA,NA,"75/35, 141/41, 75/44, 0/46",0,1,1,0,,,,,
169,P159.E.WCOA21,159,,E,WCOA21,,,B100_SCORP_EtOH,SCORP,Bongo 100,,,,,,,,,,,,,,,,,,,,,,SCORP,B100-200_SCORP,19-Jul-21,60,10:48,34 04.6252 N,119 33.0992 W,1.5,2.28,19.604,80.58,10:52,34 04.6566 N,119 33.2046 W,1.6,4.10,19.603,80.92,10:58,34 04.7050 N,119 33.3659 W,1.3,4.55,19.599,81.47,0:10,0-1,"MMS, NG, CI, BD",General Oceanics,,,,U-16454,B100-200_SCORP_pressure,60.09,,,,,,Bongo 200 and Bongo 100,B30498,100  µm (outboard),120.5,399020,413877,14857,B30497,200  µm (inboard),121.25,473733,492209,18476,85,30,20,60,0:20,NA,NA,"40/40, 85/46, 40/50, 0/40",1,0,1,0,,,,,
172,P160.E.WCOA21,160,,E,WCOA21,,,B100_90-28_EtOH,90-28,Bongo 100,,,,,,,,,,,,,,,,,,,,,,90-28,B100-200_90-28,20-Jul-21,100,10:47,33 28.8820 N,117 47.2007 W,0.6,4.01,20.312,402.84,10:53,33 28.8947 N,117 47.3289 W,1.1,3.56,20.614,416.87,11:01,33 28.9013 N,117 47.4959 W,0.9,2.04,20.178,474.56,0:14,0-1,"MMS, NG, CI, BD",General Oceanics,,,,U-16454,B100-200_90-28_pressure,106.71,,,,,,Bongo 200 and Bongo 100,B30498,100  µm (outboard),120.5,413896,436592,22696,B30497,200  µm (inboard),121.25,492338,518235,25897,141,30,20,100,0,NA,NA,"75/48, 141/50, 75/52, 0/51",1,0,1,0,,,,,
175,P161.E.WCOA21,161,,E,WCOA21,,,B100_90-35_EtOH,90-35,Bongo 100,,,,,,,,,,,,,,,,,,,,,,90-35,B100-200_90-35,21-Jul-21,100,6:08,33 14.2485 N,118 16.5831 W,1.7,12.73,20.457,1061.89,6:13,33 14.1754 N,118 16.7485 W,1.6,13.91,20.481,1103.87,6:21,33 14.0784 N,118 16.9544 W,1.6,13.63,20.466,1137.29,0:13,0-3,"MMS, NG, CI, ST",General Oceanics,,,,U-16454,B100-200_90-35_pressure,97.78,,,,,"Did not record flow meter readings at start of tow, so using final readings from tow on previous day",Bongo 200 and Bongo 100,B30498,100  µm (outboard),120.5,436592,455695,19103,B30497,200  µm (inboard),121.25,518235,542570,24335,141,30,20,100,0:15,NA,NA,"75/48, 141/47, 75/49, 0/39",1,0,1,0,,,,,
178,P162.E.WCOA21,162,,E,WCOA21,,,B100_90-60_EtOH,90-60,Bongo 100,,,,,,,,,,,,,,,,,,,,,,90-60,B100-200_90-60,22-Jul-21,100,8:52,32 25.4063 N,119 58.2119 W,1.5,17.48,17.196,980.92,8:57,32 25.4722 N,119 58.3394 W,1.6,17.19,17.191,1015.88,9:05,32 25.5656 N,119 58.5115 W,1.6,19.74,17.183,1032.12,0:13,4-6,"MMS, NG, CI, BD",General Oceanics,,,,U-16454,B100-200_90-60_pressure,95.79,,,,,"flow meters spinning when net was out of water, before they could be read after recovery",Bongo 200 and Bongo 100,B30498,100  µm (outboard),120.5,455818,478710,22892,B30497,200  µm (inboard),121.25,542607,569090,26483,141,30,20,100,0,NA,NA,"75/43, 141/47, 75/43, 0/50",1,0,1,0,,,,,
181,P163.E.WCOA21,163,,E,WCOA21,,,B100_P02-12_EtOH,P02-12,Bongo 100,,,,,,,,,,,,,,,,,,,,,,P02-12,B100-200_P02-12,23-Jul-21,100,8:36,31 46.6888 N,120 15.8398 W,1.6,18.22,17.498,4027.60,8:41,31 46.7668 N,120 15.9599 W,1.5,14.86,17.501,4019.04,8:58,31 46.9882 N,120 16.3860 W,1.6,15.63,17.506,4015.55,0:22,4-6,"MMS, CI, NG, BD",General Oceanics,,,,U-16454,B100-20_P02-12_pressure,109.35,,,,,,Bongo 200 and Bongo 100,B30498,100  µm (outboard),120.5,478474,506829,28355,B30497,200  µm (inboard),121.25,569882,612529,42647,141,30,10,100,0:20,NA,NA,"75/44, 141/42, 75/42, 0/39",1,0,1,0,,,,,
184,P164.E.WCOA21,164,,E,WCOA21,,,B200_QC85_EtOH,QC85,Bongo 200,,,,,,,,,,,,,,,,,,,,,,QC85,B100-200_QC85,25-Jun-21,100,10:51,51 28.6964 N,130 49.9102 W,1.3,12.45,DNR,1838.65,10:57,51 28.5668 N,130 49.8517 W,1.4,11.03,DNR,1838.13,11:07,51 28.4276 N,130 49.7460 W,1.4,12.03,DNR,1821.84,0:16,6-8,"MMS, NG, BD",General Oceanics,,,,U-16454,B100-200_QC85_pressure,102.34,,,,,challenging to get wire angle correct; ship speed ~1 knot on ascent; needed time to stabilize wire angle when reaching depth 1,Bongo 200 and Bongo 100,B30498,100  µm (outboard),120.5,87,30429,30342,B30497,200  µm (inboard),121.25,22,30969,30947,141,30,20,100,2:00,NA,NA,"75/49, 141/54, 75/41, 35/37.5, 0/55",1,0,1,0,,,,,
187,P165.E.WCOA21,165,,E,WCOA21,,,B200_BS64_EtOH,BS64,Bongo 200,,,,,,,,,,,,,,,,,,,,,,BS64,B100-200_BS64,27-Jun-21,100,11:17,48 11.4530 N,126 35.8388 W,1.1,9.39,15.129,2482.39,11:22,48 11.3294 N,126 35.8712 W,1.2,10.01,15.228,2480.21,11:30,48 11.1790 N,126 35.9100 W,1.4,8.6,15.192,2477.05,0:13,2-4,"MMS, NG, BD",General Oceanics,,,,U-16454,B100-200_BS64_pressure,103.16,,,,,lot of biomass (seems to be clogging on recovery; draining slow),Bongo 200 and Bongo 100,B30498,100  µm (outboard),120.5,30715,50424,19709,B30497,200  µm (inboard),121.25,31187,54729,23542,141,30,20,100,0,NA,NA,"75/48, 141/46, 75/50, 35/49, 0/45",3,0,3,0,,,,,
190,P166.E.WCOA21,166,,E,WCOA21,,,B200_BS6_EtOH,BS6,Bongo 200,,,,,,,,,,,,,,,,,,,,,,BS6,B100-200_BS6,28-Jun-21,70,8:59,48 48.3249 N,125 29.5464 W,1.7,8.98,14.196,101.75,9:04,48 48.3690 N,125 29.7646 W,2.3,8.5,14.345,102.74,9:10,48 48.4247 N,125 30.0166W,1.5,8.46,15.21,102.95,0:11,0-2,"MMS, NG, BD",General Oceanics,,,,U-16454,B100-200_BS6_pressure,67.81,,,,,,Bongo 200 and Bongo 100,B30498,100  µm (outboard),120.5,50568,56143,5575,B30497,200  µm (inboard),121.25,54784,71100,16316,100,30,20,70,0,NA,NA,"35/29, 75/40, 100/50, 75/56, 35/44, 0/15",2,0,2,0,,,,,
193,P167.E.WCOA21,167,,E,WCOA21,,,B200_ChaBa_EtOH,ChaBa,Bongo 200,,,,,,,,,,,,,,,,,,,,,,ChaBa,B100-200_ChaBa,29-Jun-21,70,8:30,47 57.6601 N,124 54.8863 W,1.6,15.11,15.36,82.76,8:34,47 57.5573 N,124 54.7843 W,1.9,14.27,15.329,82.65,8:47,47 57.2805 N,124 54.4792 W,1.7,15.5,14.438,80.43,0:17,4-6,"MMS, NG, BD",General Oceanics,,,,U-16454,B100-200_ChaBa_pressure,70.41,,,,,surface current; high wire angle at end of tow,Bongo 200 and Bongo 100,B30498,100  µm (outboard),120.5,56173,85888,29715,B30497,200  µm (inboard),121.25,71101,103649,32548,105,20,10,70,0,NA,NA,"50/30, 105/46, 50/37, 0/55",1,0,1,0,,,,,
196,P168.E.WCOA21,168,,E,WCOA21,,,B200_CR40_EtOH,CR40,Bongo 200,,,,,,,,,,,,,,,,,,,,,,CR40,B100-200_CR40,30-Jun-21,100,9:13,46 08.0103 N,124 54.9276 W,1.3,11.72,16.111,1261.07,9:19,46 07.9090 N,124 54.8213 W,1.5,15.43,16.075,1284.08,9:24,46 07.8020 N,124 54.7218 W,1.3,14.71,16.098,1301.7,0:11,4-6,"MMS, NG, BD",General Oceanics,,,,U-16454,B100-200_CR40_pressure,116.54,,,,,,Bongo 200 and Bongo 100,B30498,100  µm (outboard),120.5,85903,101324,15421,B30497,200  µm (inboard),121.25,103638,125174,21536,141,30,30,100,0,NA,NA,"111/39, 141/40, 75/46, 0/51",0,1,0,1,,,,,
199,P169.E.WCOA21,169,,E,WCOA21,,,B200_CR24_EtOH,CR24,Bongo 200,,,,,,,,,,,,,,,,,,,,,,CR24,B100-200_CR24,1-Jul-21,100,8:47,46 08.0001 N,124 32.3428 W,1.2,6.31,16.989,136.95,8:53,46 08.0692 N,124 32.4064 W,0.9,5.5,16.997,139.21,9:01,46 08.1995 N,124 32.5339 W,0.8,4.76,17.04,139.1,0:14,6-8,"MMS, NG, BD",General Oceanics,,,,U-16454,B100-200_CR24_pressure,128.91,,,,,,Bongo 200 and Bongo 100,B30498,100  µm (outboard),120.5,101404,125103,23699,B30497,200  µm (inboard),121.25,125239,148610,23371,141,30,20,100,01:05.2,NA,NA,"75/48, 141/38, 75/46, 0/51",1,0,1,0,,,,,
